,city,country,Salario_Medio,Continent,sub-region,Alimentacao_Basica,Transp_Publico,Transp_Privado,Moradia_CentroCidade,Moradia_ForaCentroCidade,Final_de_Semana,CV1_1,CV1_2,CV2_1,CV2_2
845,Oeiras,Portugal,1080.09,Europe,Southern Europe,71.32000000000001,42.15,905.1800000000001,1057.02,951.65,143.91,2177.43,1314.4,2072.06,1209.03
846,Coimbra,Portugal,895.68,Europe,Southern Europe,64.78,31.61,911.73,701.84,545.28,118.34,1796.6899999999998,916.57,1640.1299999999999,760.01
847,Leiria,Portugal,1488.42,Europe,Southern Europe,51.18,13.2,861.27,981.3899999999999,791.71,135.24,2029.0799999999997,1181.01,1839.3999999999999,991.33
848,Setubal,Portugal,1049.88,Europe,Southern Europe,65.7,42.15,890.1400000000001,854.9399999999999,604.67,139.52999999999997,1950.3100000000002,1102.32,1700.0400000000002,852.05
849,Funchal,Portugal,1090.63,Europe,Southern Europe,60.67999999999999,36.88,978.36,988.38,786.41,151.27999999999997,2178.7,1237.22,1976.7299999999998,1035.25
850,Aveiro,Portugal,852.86,Europe,Southern Europe,53.3,31.61,670.61,724.7,661.2,126.46,1575.0700000000002,936.07,1511.5700000000002,872.57
851,Faro,Portugal,1138.4,Europe,Southern Europe,75.03999999999999,42.15,963.72,917.55,785.83,152.34,2108.65,1187.08,1976.93,1055.36
852,Portimao,Portugal,1410.26,Europe,Southern Europe,54.11,21.07,774.66,762.5,754.6,118.6,1709.87,956.2800000000001,1701.9699999999998,948.38
853,Lagos,Portugal,923.29,Europe,Southern Europe,87.89000000000001,42.15,828.17,1053.04,887.0799999999999,147.04999999999998,2116.15,1330.1299999999999,1950.1899999999998,1164.1699999999998
854,Beirut,Lebanon,370.25,Asia,Western Asia,150.86,80.0,663.51,1031.87,736.1700000000001,172.4,2018.6399999999999,1435.13,1722.94,1139.43
855,Tirana,Albania,463.59,Europe,Southern Europe,60.370000000000005,14.42,585.8100000000001,548.73,374.81000000000006,108.19000000000001,1303.1000000000001,731.71,1129.18,557.7900000000001
856,Vlore,Albania,383.04,Europe,Southern Europe,49.97,9.01,516.15,295.73,187.72,87.60999999999999,949.46,442.32000000000005,841.45,334.30999999999995
857,Durres,Albania,350.17,Europe,Southern Europe,48.839999999999996,10.81,536.78,393.78,273.17999999999995,87.92000000000002,1067.32,541.3499999999999,946.72,420.74999999999994
858,Bratislava,Slovakia,1279.31,Europe,Eastern Europe,75.92,31.61,748.4300000000001,890.21,726.84,141.48,1856.04,1139.22,1692.67,975.85
859,Kosice,Slovakia,958.79,Europe,Eastern Europe,67.59,26.34,711.5600000000001,793.14,699.24,126.46000000000001,1698.75,1013.53,1604.8500000000001,919.6300000000001
860,Presov,Slovakia,831.3,Europe,Eastern Europe,56.24,20.97,529.13,539.65,430.32,95.19999999999999,1220.22,712.06,1110.89,602.73
